id,review,rating,date,category,product,sentiment,sentiment_score,keyword_cluster
#1000,Package arrived damaged. Excellent service.,2,2024-11-06,Delivery,Streaming Service,Negative,0.1,SHIPPING_QUALITY
#1001,Search suggestions are helpful and intelligent.,4,2024-08-05,Search,Food Delivery App,Positive,0.8,SEARCH_ACCURACY
#1002,Performance has been consistent and dependable.,4,2024-12-19,Reliability,Streaming Service,Positive,0.8,UPTIME
#1003,Reliability has improved dramatically since the last update.,4,2024-10-24,Reliability,E-Commerce Platform,Positive,0.8,CRASH_ISSUES
#1004,The search algorithm is broken.,2,2024-06-20,Search,Travel Booking Platform,Negative,0.1,SEARCH_PERFORMANCE
#1005,The support team was incredibly helpful and patient.,4,2024-02-14,Support,E-Commerce Platform,Positive,0.8,CUSTOMER_SUPPORT
#1006,Checkout works but takes longer than expected.,3,2024-11-23,Checkout,E-Commerce Platform,Neutral,0.4,CHECKOUT_LATENCY
#1007,No bugs or glitches encountered so far.,4,2024-05-13,Reliability,Mobile Banking App,Positive,0.8,CRASH_ISSUES
#1008,Great value for the price paid. Terrible experience.,5,2024-03-03,Product,E-Commerce Platform,Positive,0.9,PRODUCT_QUALITY
#1009,Payment page freezes every time I try to pay.,2,2024-06-15,Checkout,Travel Booking Platform,Negative,0.1,CHECKOUT_LATENCY
#1010,Offline mode works surprisingly well.,4,2024-06-27,Mobile,Mobile Banking App,Positive,0.8,MOBILE_PERFORMANCE
#1011,Product performance is decent. Needs improvement.,3,2024-01-02,Product,E-Commerce Platform,Neutral,0.4,FEATURE_REQUESTS
#1012,Payment processing fails most of the time.,1,2024-06-27,Payment,Mobile Banking App,Negative,0.0,TRANSACTION_SPEED
#1013,Love how smooth the checkout flow is now.,5,2024-07-07,Checkout,Streaming Service,Positive,0.9,CHECKOUT_LATENCY
#1014,"Battery usage is minimal, very efficient app. Could be better.",4,2024-10-01,Mobile,Mobile Banking App,Positive,0.8,MOBILE_PERFORMANCE
#1015,The search experience is intuitive and efficient.,5,2024-06-02,Search,SaaS Dashboard,Positive,0.9,SEARCH_PERFORMANCE
#1016,Login is instant with face recognition.,4,2024-04-06,Login,Mobile Banking App,Positive,0.8,AUTHENTICATION
#1017,Experienced multiple critical failures.,1,2024-07-28,Reliability,Project Management Tool,Negative,0.0,SYSTEM_RELIABILITY
#1018,Voice search works surprisingly well. Could be better.,4,2024-07-11,Search,Social Media Platform,Positive,0.8,FILTER_ISSUES
#1019,The delivery process is transparent from start to finish.,4,2024-11-08,Delivery,Travel Booking Platform,Positive,0.8,DELIVERY_DELAY
#1020,The delivery team was professional and courteous.,5,2024-01-11,Delivery,Mobile Banking App,Positive,0.9,DELIVERY_DELAY
#1021,Quality control seems inconsistent.,3,2024-07-22,Product,Travel Booking Platform,Neutral,0.4,FEATURE_REQUESTS
#1022,"The application never freezes or hangs, very stable. Terrible experience.",5,2024-03-24,Reliability,E-Commerce Platform,Positive,0.9,UPTIME
#1023,The interface is incredibly intuitive and easy to navigate.,4,2024-12-11,UI,Food Delivery App,Positive,0.8,NAVIGATION
#1024,Response time is average.,3,2024-08-03,Support,Food Delivery App,Neutral,0.4,SUPPORT_QUALITY
#1025,Got a personalized solution that actually worked.,5,2024-09-12,Support,SaaS Dashboard,Positive,0.9,RESPONSE_TIME
#1026,Some elements are confusing but overall usable.,3,2024-09-09,UI,Travel Booking Platform,Neutral,0.4,UI_DESIGN
#1027,The search experience is intuitive and efficient.,5,2024-04-18,Search,Social Media Platform,Positive,0.9,SEARCH_PERFORMANCE
#1028,"Great job on the user experience, it's a pleasure to use.",4,2024-09-20,UI,Travel Booking Platform,Positive,0.8,UI_DESIGN
#1029,The one-click purchase feature is a game changer.,4,2024-05-04,Checkout,Mobile Banking App,Positive,0.8,PAYMENT_FAILURE
#1030,Package arrived with minor damage. Needs improvement.,3,2024-11-11,Delivery,SaaS Dashboard,Neutral,0.4,DELIVERY_DELAY
#1031,The search algorithm is broken.,2,2024-11-09,Search,Food Delivery App,Negative,0.1,SEARCH_PERFORMANCE
#1032,"Delivery was faster than expected, great service.",4,2024-05-12,Delivery,Project Management Tool,Positive,0.8,PACKAGING
#1033,Session management is excellent.,5,2024-02-17,Login,Streaming Service,Positive,0.9,AUTHENTICATION
#1034,The one-click purchase feature is a game changer.,5,2024-09-07,Checkout,SaaS Dashboard,Positive,0.9,PAYMENT_FAILURE
#1035,Got a personalized solution that actually worked.,5,2024-05-06,Support,Project Management Tool,Positive,0.9,SUPPORT_QUALITY
#1036,Voice search works surprisingly well. Could be better.,4,2024-05-02,Search,Mobile Banking App,Positive,0.8,SEARCH_ACCURACY
#1037,The app loads quickly even on slower connections.,4,2024-09-07,Mobile,E-Commerce Platform,Positive,0.8,APP_CRASH
#1038,Offline mode works surprisingly well.,4,2024-01-10,Mobile,Social Media Platform,Positive,0.8,MOBILE_PERFORMANCE
#1039,"Great job on the user experience, it's a pleasure to use.",4,2024-07-11,UI,Food Delivery App,Positive,0.8,UI_DESIGN
